name,img,img_analysis,threeD,in:Iteration,in:Grid Type,in:FAR,in:Density Distribution (%),in:Greenspace (%),in:Park Attractor (type),in:Building Type (type),out:Landmark View (sm),out:Daylighting,out:Energy Efficiency Ratio,out:Hours Add. Comfort,out:Surprise,out:Population
Design Space,images/image_00000.png,images/analysis_00000.png,json/00000.json,0,0,5,1.0 To 1.0,0.05,0,0,694.15,28.49,4.01,364,0.45,17742
Design Space,images/image_00001.png,images/analysis_00001.png,json/00001.json,1,0,5,1.0 To 1.0,0.15,0,0,271.53,68.61,7.42,371,0.39,17742
Design Space,images/image_00002.png,images/analysis_00002.png,json/00002.json,2,0,5,1.0 To 1.0,0.3,0,0,715.53,66.66,8.97,274,0.3,17742
Design Space,images/image_00003.png,images/analysis_00003.png,json/00003.json,3,0,5,1.0 To 1.0,0.6,0,0,569.32,72.47,13.6,160,0.37,17742
Design Space,images/image_00004.png,images/analysis_00004.png,json/00004.json,4,0,5,1.0 To 1.0,0.05,1,0,84.20,30.41,4.1,328,0.51,17742
Design Space,images/image_00005.png,images/analysis_00005.png,json/00005.json,5,0,5,1.0 To 1.0,0.15,1,0,250.60,66.08,7.61,379,0.34,17742
Design Space,images/image_00006.png,images/analysis_00006.png,json/00006.json,6,0,5,1.0 To 1.0,0.3,1,0,540.81,66.83,9.1,273,0.25,17742
Design Space,images/image_00007.png,images/analysis_00007.png,json/00007.json,7,0,5,1.0 To 1.0,0.6,1,0,502.44,72.74,13.6,157,0.15,17742
Design Space,images/image_00008.png,images/analysis_00008.png,json/00008.json,8,0,5,1.0 To 1.0,0.05,2,0,471.09,28.84,4.01,361,0.5,17742
Design Space,images/image_00009.png,images/analysis_00009.png,json/00009.json,9,0,5,1.0 To 1.0,0.15,2,0,221.21,71.67,5.12,408,0.42,17742
Design Space,images/image_00010.png,images/analysis_00010.png,json/00010.json,10,0,5,1.0 To 1.0,0.3,2,0,532.59,82.87,9.66,385,0.46,17742
Design Space,images/image_00011.png,images/analysis_00011.png,json/00011.json,11,0,5,1.0 To 1.0,0.6,2,0,1139.29,92.65,11.22,283,0.35,17742
Design Space,images/image_00012.png,images/analysis_00012.png,json/00012.json,12,1,5,1.0 To 1.0,0.05,0,0,380.67,31.89,4.02,368,0.4,17742
Design Space,images/image_00013.png,images/analysis_00013.png,json/00013.json,13,1,5,1.0 To 1.0,0.15,0,0,731.56,64.84,6.53,381,0.25,17742
Design Space,images/image_00014.png,images/analysis_00014.png,json/00014.json,14,1,5,1.0 To 1.0,0.3,0,0,427.98,61.75,7.93,289,0.21,17742
Design Space,images/image_00015.png,images/analysis_00015.png,json/00015.json,15,1,5,1.0 To 1.0,0.6,0,0,312.58,64.45,16.48,171,0.35,17742
