in:Iteration,name,out:Surprise,out:Daylighting,out:Landmark View,out:Comfort,out:Energy Efficiency,out:#Towers,out:#Extrusions,out:#Industrial,out:#Courtyards,out:#Bar Bldgs,out:#Small Mid,out:#Infill,out:GFA,out:Street Area
45709,Design Space,0.55,58.73,192940,405,14.49,0,1,1,32,64,6,0,3380871,210631
18948,Design Space,0.59,50.39,135030,470,19.2,2,1,0,15,26,1,245,2.78E+06,210274
76808,Design Space,0.59,48.88,106216,522,20.49,0,1,0,13,26,1,279,2784715,193151
40970,Design Space,0.6,40.98,89133,500,26.41,0,1,0,0,0,0,450,2226555,196744
71694,Design Space,0.61,51.11,91662,489,24.35,0,1,0,9,14,0,335,2249439,214531
75800,Design Space,0.56,58.3,224077,389,0,0,1,1,31,61,7,0,3326692,224368
8216,Design Space,0.46,62.31,261259,405,12.94,5,5,1,26,53,11,0,3.21E+06,245829
3100,Design Space,0.6,48.11,114558,478,23.28,0,1,0,0,0,0,420,2259258,245156
37405,Design Space,0.59,48.69,111954,472,0,0,1,0,1,6,0,395,2244490,240936
76319,Design Space,0.59,48.52,117823,538,0,0,1,0,10,20,0,308,2813294,208597
36383,Design Space,0.59,47.44,132106,486,19.49,0,1,0,10,29,1,268,2789553,217690
70178,Design Space,0.33,56.37,114726,566,0,0,1,2,51,57,1,9,3375048,136510
41507,Design Space,0.45,57.05,183394,434,15.29,0,1,1,23,72,15,13,3221759,217566
42534,Design Space,0.61,48.75,96954,515,24.64,0,1,0,0,0,0,429,2248117,225197
55850,Design Space,0.61,49.7,97322,515,24.34,0,1,0,2,2,0,413,2253404,222402
75307,Design Space,0.6,49.33,97739,514,24.25,0,1,0,1,4,0,409,2263925,228192
53809,Design Space,0.54,50.43,163324,352,21.15,0,1,0,6,34,11,221,2145373,306092
52790,Design Space,0.59,47.51,112408,544,20.06,0,1,0,9,17,0,327,2810012,203782
58934,Design Space,0.58,60.84,291790,368,0,14,6,1,23,43,5,0,3.34E+06,256027
23095,Design Space,0.55,62.47,259466,385,13.01,6,2,2,29,51,4,0,3.34E+06,243405
31289,Design Space,0.57,55.37,221034,436,16.9,15,4,1,9,12,2,223,2.82E+06,235245
29753,Design Space,0.56,57.59,156066,444,15.85,0,1,0,34,72,5,0,3364570,182421
59963,Design Space,0.6,53.32,158032,380,0,0,1,0,12,17,1,246,2205663,275674
42558,Design Space,0.57,50.4,165861,445,18.02,0,1,1,15,29,3,217,2797735,235014
82496,Design Space,0.59,48.74,111585,517,19.93,0,1,0,14,25,2,279,2772592,195318
25156,Design Space,0.57,55.57,192707,404,14.73,0,1,1,34,64,8,0,3363138,202402
41029,Design Space,0.59,49.27,123995,536,19.33,0,1,0,10,14,1,324,2821248,214346
35400,Design Space,0.58,45.22,117938,507,20.2,3,1,0,13,21,1,285,2.80E+06,178241
76361,Design Space,0.6,50.26,96456,506,24.55,0,1,0,3,8,0,382,2251792,223412
63052,Design Space,0.6,49.23,109642,463,24.31,0,1,0,2,13,0,368,2240956,235798
55885,Design Space,0.63,52.94,171177,363,18.93,0,1,0,8,20,2,236,2259047,308026
19533,Design Space,0.57,55.37,221034,436,0,15,4,1,9,12,2,223,2.82E+06,235245
16972,Design Space,0.45,55.98,176435,424,15.73,0,1,1,23,78,13,13,3.22E+06,216382
84049,Design Space,0.58,56.03,161830,458,15.69,0,1,0,35,70,2,17,3385419,166522
23637,Design Space,0.62,50.48,93051,487,24.34,0,1,0,9,14,1,342,2242511,208565
49753,Design Space,0.62,51.62,91310,480,24.22,0,1,0,11,16,1,327,2233344,205620
