in:Iteration,in:Grid Type,in:Density Multiplier,in:Density Distribution,in:Greenspace (%),in:Park Attractor Type,in:Street Width,in:Park Attr Str
0,2,0.9,1.5,0.3,2,1.3,0.65
1,3,1.2,1.25,0.3,2,1.1,0.5
2,3,0.8,1.5,0.3,1,1.4,0.8
3,0,0.9,1.75,0.3,1,0.8,0.65
4,1,0.8,1.75,0.3,1,1.4,0.95
5,5,1.1,3,0.15,0,1.3,0.95
6,3,0.8,1,0.3,1,1.4,0.95
7,5,1,1,0.1,2,1,0.8
8,3,0.9,1.25,0.3,0,0.8,0.65
9,4,1.1,1.25,0.15,1,1.4,0.5
10,3,1.1,1.75,0.1,2,0.9,0.5
11,2,1.1,1.75,0.2,2,0.8,0.8
12,5,1.1,2,0.15,2,0.8,0.65
13,5,1,1.25,0.25,2,1.4,0.5
14,0,1.1,1.25,0.15,0,1,0.5
15,2,1,4,0.1,1,1.4,0.5
16,3,1,4,0.3,0,0.8,0.65
17,1,0.9,4,0.25,2,1.1,0.65
18,1,1.2,1,0.25,1,1.2,0.5
19,1,1.1,4,0.1,0,1.2,0.5
20,3,0.9,3,0.25,1,1.2,0.95
21,5,0.9,4,0.2,0,1.1,0.8
22,2,0.8,1.75,0.15,0,1,0.8
23,1,1.1,4,0.1,1,0.9,0.65
24,2,1.2,3,0.1,0,1,0.95
25,3,0.9,2,0.3,1,1.1,0.8
26,1,1.1,1.5,0.25,2,1.1,0.95
27,0,1.2,1,0.1,0,1.2,0.5
28,0,0.8,1.75,0.1,0,0.8,0.95
29,1,0.9,1.5,0.3,0,0.8,0.95
30,3,0.9,1.5,0.3,1,0.9,0.65
31,2,1.1,1.5,0.3,1,0.9,0.5
32,5,1.2,1.75,0.2,0,1.1,0.65
33,2,1,1.25,0.3,1,0.8,0.8
34,2,1,3,0.3,0,1,0.95
35,3,1.2,1.25,0.3,1,1,0.95
36,3,0.9,3,0.25,1,1.4,0.8
37,2,0.9,1,0.2,2,0.8,0.8
38,5,0.9,1,0.2,0,1.1,0.95
39,0,0.8,4,0.25,0,0.9,0.5
40,1,1,1.75,0.3,0,1.4,0.5
41,5,0.8,1.5,0.25,0,1.2,0.65
42,0,1,1,0.3,1,1.2,0.95
43,3,0.8,1.75,0.15,2,1,0.95
44,5,0.8,3,0.3,2,1.1,0.8
45,5,1.2,3,0.3,2,1,0.8
46,2,0.8,4,0.2,0,0.9,0.95
47,5,0.9,1.5,0.15,2,1.3,0.65
48,0,1.2,1.25,0.1,0,1.1,0.5
49,2,1.1,1.75,0.15,0,1,0.5
50,1,1.2,4,0.15,0,1.2,0.5
51,5,0.9,1.5,0.25,0,1.2,0.95
52,4,1.2,2,0.15,0,0.9,0.5
53,5,0.9,2,0.2,0,1.2,0.8
54,4,0.9,1.75,0.25,2,1,0.8
55,5,1.2,2,0.25,2,1.2,0.8
56,4,1,1,0.1,1,1,0.95
57,3,0.8,1.75,0.3,1,0.8,0.65
58,1,0.8,1.25,0.25,2,0.9,0.5
59,1,1.2,3,0.25,2,1,0.5
60,3,1,1.75,0.25,1,0.9,0.95
61,4,0.9,1.5,0.25,2,1.2,0.5
62,3,1.2,3,0.1,2,1.4,0.5
63,1,0.9,2,0.3,1,0.9,0.95
64,1,1.2,3,0.15,1,0.9,0.95
65,1,1.2,2,0.25,0,1,0.65
66,4,0.9,3,0.15,1,1.4,0.5
67,1,1.2,2,0.1,0,1.3,0.8
68,1,0.9,1,0.3,0,0.9,0.65
69,3,1,4,0.15,0,1,0.8
70,2,0.8,1.5,0.1,2,1.1,0.95
71,5,0.9,2,0.3,2,1.2,0.95
72,4,0.8,3,0.1,1,1.3,0.8
73,1,1,2,0.2,2,1,0.65
74,0,1.1,3,0.2,2,1.3,0.8
75,4,1,2,0.2,1,1.3,0.5
76,0,1,2,0.15,0,1.4,0.5
77,4,1.2,4,0.2,2,1.1,0.65
78,4,1.1,1.25,0.25,1,0.9,0.95
79,0,0.9,3,0.3,2,0.8,0.95
80,2,1.1,1,0.2,0,1.2,0.8
81,3,0.9,4,0.3,1,1.2,0.5
82,5,0.9,1.5,0.2,2,1.2,0.95
83,5,1.1,4,0.3,0,0.8,0.95
